%X     Y      LONGNAME                      SHORTNAME   KRIT1   KRIT2   KRIT3   DIFF   LAT     LON
396    78     VIKER                         vik         151     172     190      51    59.04   10.95
406    93     OSCARSBORG                    osc         170     190     208      66    59.68   10.60
406    93     OSLO                          osl         173     197     225      66    59.91   10.73
385    89     HELGEROA                      hro         140     159     176      50    59.00    9.86
342    96     TREGDE                        trg         115     129     140      45    58.01    7.55
347   134     STAVANGER                     svg         145     156     166      65    58.87    5.73
373   165     BERGEN                        bgo         199     211     230      91    60.40    5.32
406   190     MAALOEY                       may         251     263     273     115    61.93    5.11
425   189     AALESUND                      aes         265     281     296     122    62.47    6.15
453   185     KRISTIANSUND                  ksu         282     297     310     130    63.11    7.73
470   177     HEIMSJOE                      hei         312     327     345     146    63.43    9.10
481   165     TRONDHEIM                     trd         357     373     385     165    63.44   10.39
514   183     ROERVIK                       rvk         325     343     359     151    64.86   11.23
587   207     BODOE                         boo         356     375     395     166    67.29   14.39
630   209     NARVIK                        nvk         402     424     450     184    68.43   17.43
604   223     KABELVAAG                     kab         379     400     419     173    68.21   14.48
636   235     ANDENES                       anx         279     298     314     130    69.33   16.13
631   221     HARSTAD                       har         283     298     315     135    68.80   16.55
664   225     TROMSOE                       tos         337     353     366     163    69.65   18.96
712   220     HAMMERFEST                    hft         340     356     369     168    70.66   23.68
734   216     HONNINGSVAAG                  hvg         335     351     366     165    70.98   25.97
765   179     VARDOE                        vaw         382     398     415     192    70.38   31.10
791   438     NY-AALESUND                   nya         196     207     215      92    78.93   11.92
475   188     MAUSUND                       msu         302     317     329     140    63.87    8.67
265   120     EKOFISK                       eko         199     211     230      91    56.50    3.20
492   224     HEIDRUN                       hdr         325     343     359     151    65.30    7.30


